transaction_id,transaction_date,transaction_time,transaction_qty,store_id,store_location,product_id,unit_price,product_category,product_type,product_detail,year,month,day,day_of_week,quarter,is_weekend,hour,time_period,season,price_tier,total_amount,avg_order_value,total_quantity_sold,store_total_sales,store_avg_sale,store_transaction_count,transaction_size_category,sales_performance,CustomerCluster,PredictedSales,SalesError,SalesPerformance
355,2023-01-01,1900-01-01 15:34:10,2,3,Astoria,41,4.25,Coffee,Barista Espresso,Cappuccino Lg,2023,1,1,6,1,1,15,Afternoon,Winter,Premium,8.5,8.5,4143,212284.0,4.300380844340005,49364,Small Order,Medium,1,8.5,0.0,Slightly Under
363,2023-01-01,1900-01-01 15:52:23,2,5,Lower Manhattan,39,4.25,Coffee,Barista Espresso,Latte Rg,2023,1,1,6,1,1,15,Afternoon,Winter,Premium,8.5,8.5,4497,207261.64,4.476009934132383,46305,Small Order,Medium,1,8.5,0.0,Slightly Under
423,2023-01-01,1900-01-01 17:17:19,2,8,Hell's Kitchen,55,4.0,Tea,Brewed Chai tea,Morning Sunrise Chai Lg,2023,1,1,6,1,1,17,Afternoon,Winter,Standard,8.0,8.0,4346,209773.95,4.262485268419556,49214,Small Order,Medium,1,8.0,0.0,Slightly Under
428,2023-01-01,1900-01-01 17:19:11,2,8,Hell's Kitchen,39,4.25,Coffee,Barista Espresso,Latte Rg,2023,1,1,6,1,1,17,Afternoon,Winter,Premium,8.5,8.5,4497,209773.95,4.262485268419556,49214,Small Order,Medium,1,8.5,0.0,Slightly Under
449,2023-01-01,1900-01-01 17:41:55,2,3,Astoria,55,4.0,Tea,Brewed Chai tea,Morning Sunrise Chai Lg,2023,1,1,6,1,1,17,Afternoon,Winter,Standard,8.0,8.0,4346,212284.0,4.300380844340005,49364,Small Order,Medium,1,8.0,0.0,Slightly Under
486,2023-01-01,1900-01-01 18:22:12,2,3,Astoria,61,4.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,2023,1,1,6,1,1,18,Afternoon,Winter,Premium,9.5,9.5,4453,212284.0,4.300380844340005,49364,Small Order,Medium,1,9.5,0.0,Slightly Under
495,2023-01-01,1900-01-01 18:30:05,2,3,Astoria,55,4.0,Tea,Brewed Chai tea,Morning Sunrise Chai Lg,2023,1,1,6,1,1,18,Afternoon,Winter,Standard,8.0,8.0,4346,212284.0,4.300380844340005,49364,Small Order,Medium,1,8.0,0.0,Slightly Under
510,2023-01-01,1900-01-01 18:52:57,2,3,Astoria,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,2023,1,1,6,1,1,18,Afternoon,Winter,Premium,9.0,9.0,4668,212284.0,4.300380844340005,49364,Small Order,Medium,1,9.0,0.0,Slightly Under
513,2023-01-01,1900-01-01 18:56:35,2,8,Hell's Kitchen,39,4.25,Coffee,Barista Espresso,Latte Rg,2023,1,1,6,1,1,18,Afternoon,Winter,Premium,8.5,8.5,4497,209773.95,4.262485268419556,49214,Small Order,Medium,1,8.5,0.0,Slightly Under
524,2023-01-01,1900-01-01 19:10:53,2,8,Hell's Kitchen,55,4.0,Tea,Brewed Chai tea,Morning Sunrise Chai Lg,2023,1,1,6,1,1,19,Evening,Winter,Standard,8.0,8.0,4346,209773.95,4.262485268419556,49214,Small Order,Medium,1,8.0,0.0,Slightly Under
536,2023-01-01,1900-01-01 19:34:39,2,8,Hell's Kitchen,61,4.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,2023,1,1,6,1,1,19,Evening,Winter,Premium,9.5,9.5,4453,209773.95,4.262485268419556,49214,Small Order,Medium,1,9.5,0.0,Slightly Under
540,2023-01-01,1900-01-01 19:38:46,2,3,Astoria,55,4.0,Tea,Brewed Chai tea,Morning Sunrise Chai Lg,2023,1,1,6,1,1,19,Evening,Winter,Standard,8.0,8.0,4346,212284.0,4.300380844340005,49364,Small Order,Medium,1,8.0,0.0,Slightly Under
556,2023-01-02,1900-01-01 07:22:08,2,5,Lower Manhattan,61,4.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,2023,1,2,0,1,0,7,Morning,Winter,Premium,9.5,9.5,4453,207261.64,4.476009934132383,46305,Small Order,Medium,1,9.5,0.0,Slightly Under
571,2023-01-02,1900-01-01 08:11:11,2,8,Hell's Kitchen,61,4.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,2023,1,2,0,1,0,8,Morning,Winter,Premium,9.5,9.5,4453,209773.95,4.262485268419556,49214,Small Order,Medium,1,9.5,0.0,Slightly Under
609,2023-01-02,1900-01-01 09:31:37,2,8,Hell's Kitchen,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,2023,1,2,0,1,0,9,Morning,Winter,Premium,9.0,9.0,4668,209773.95,4.262485268419556,49214,Small Order,Medium,1,9.0,0.0,Slightly Under
621,2023-01-02,1900-01-01 09:56:28,2,8,Hell's Kitchen,41,4.25,Coffee,Barista Espresso,Cappuccino Lg,2023,1,2,0,1,0,9,Morning,Winter,Premium,8.5,8.5,4143,209773.95,4.262485268419556,49214,Small Order,Medium,1,8.5,0.0,Slightly Under
696,2023-01-02,1900-01-01 11:53:54,2,8,Hell's Kitchen,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,2023,1,2,0,1,0,11,Morning,Winter,Premium,9.0,9.0,4668,209773.95,4.262485268419556,49214,Small Order,Medium,1,9.0,0.0,Slightly Under
779,2023-01-02,1900-01-01 13:23:18,2,3,Astoria,39,4.25,Coffee,Barista Espresso,Latte Rg,2023,1,2,0,1,0,13,Afternoon,Winter,Premium,8.5,8.5,4497,212284.0,4.300380844340005,49364,Small Order,Medium,1,8.5,0.0,Slightly Under
791,2023-01-02,1900-01-01 13:30:30,2,3,Astoria,39,4.25,Coffee,Barista Espresso,Latte Rg,2023,1,2,0,1,0,13,Afternoon,Winter,Premium,8.5,8.5,4497,212284.0,4.300380844340005,49364,Small Order,Medium,1,8.5,0.0,Slightly Under
803,2023-01-02,1900-01-01 13:47:27,2,8,Hell's Kitchen,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,2023,1,2,0,1,0,13,Afternoon,Winter,Premium,9.0,9.0,4668,209773.95,4.262485268419556,49214,Small Order,Medium,1,9.0,0.0,Slightly Under
835,2023-01-02,1900-01-01 14:17:55,2,3,Astoria,61,4.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,2023,1,2,0,1,0,14,Afternoon,Winter,Premium,9.5,9.5,4453,212284.0,4.300380844340005,49364,Small Order,Medium,1,9.5,0.0,Slightly Under
838,2023-01-02,1900-01-01 14:21:55,2,8,Hell's Kitchen,41,4.25,Coffee,Barista Espresso,Cappuccino Lg,2023,1,2,0,1,0,14,Afternoon,Winter,Premium,8.5,8.5,4143,209773.95,4.262485268419556,49214,Small Order,Medium,1,8.5,0.0,Slightly Under
991,2023-01-02,1900-01-01 17:10:24,2,8,Hell's Kitchen,55,4.0,Tea,Brewed Chai tea,Morning Sunrise Chai Lg,2023,1,2,0,1,0,17,Afternoon,Winter,Standard,8.0,8.0,4346,209773.95,4.262485268419556,49214,Small Order,Medium,1,8.0,0.0,Slightly Under
1046,2023-01-02,1900-01-01 18:17:58,2,5,Lower Manhattan,39,4.25,Coffee,Barista Espresso,Latte Rg,2023,1,2,0,1,0,18,Afternoon,Winter,Premium,8.5,8.5,4497,207261.64,4.476009934132383,46305,Small Order,Medium,1,8.5,0.0,Slightly Under
1063,2023-01-02,1900-01-01 18:31:50,2,3,Astoria,39,4.25,Coffee,Barista Espresso,Latte Rg,2023,1,2,0,1,0,18,Afternoon,Winter,Premium,8.5,8.5,4497,212284.0,4.300380844340005,49364,Small Order,Medium,1,8.5,0.0,Slightly Under
1070,2023-01-02,1900-01-01 18:40:50,2,8,Hell's Kitchen,61,4.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,2023,1,2,0,1,0,18,Afternoon,Winter,Premium,9.5,9.5,4453,209773.95,4.262485268419556,49214,Small Order,Medium,1,9.5,0.0,Slightly Under
1073,2023-01-02,1900-01-01 18:44:51,2,3,Astoria,55,4.0,Tea,Brewed Chai tea,Morning Sunrise Chai Lg,2023,1,2,0,1,0,18,Afternoon,Winter,Standard,8.0,8.0,4346,212284.0,4.300380844340005,49364,Small Order,Medium,1,8.0,0.0,Slightly Under
1084,2023-01-02,1900-01-01 19:01:39,2,3,Astoria,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,2023,1,2,0,1,0,19,Evening,Winter,Premium,9.0,9.0,4668,212284.0,4.300380844340005,49364,Small Order,Medium,1,9.0,0.0,Slightly Under
1086,2023-01-02,1900-01-01 19:14:55,2,8,Hell's Kitchen,39,4.25,Coffee,Barista Espresso,Latte Rg,2023,1,2,0,1,0,19,Evening,Winter,Premium,8.5,8.5,4497,209773.95,4.262485268419556,49214,Small Order,Medium,1,8.5,0.0,Slightly Under
1102,2023-01-02,1900-01-01 19:42:15,2,8,Hell's Kitchen,41,4.25,Coffee,Barista Espresso,Cappuccino Lg,2023,1,2,0,1,0,19,Evening,Winter,Premium,8.5,8.5,4143,209773.95,4.262485268419556,49214,Small Order,Medium,1,8.5,0.0,Slightly Under
1120,2023-01-03,1900-01-01 07:16:26,2,5,Lower Manhattan,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,2023,1,3,1,1,0,7,Morning,Winter,Premium,9.0,9.0,4668,207261.64,4.476009934132383,46305,Small Order,Medium,1,9.0,0.0,Slightly Under
1144,2023-01-03,1900-01-01 08:32:12,2,8,Hell's Kitchen,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,2023,1,3,1,1,0,8,Morning,Winter,Premium,9.0,9.0,4668,209773.95,4.262485268419556,49214,Small Order,Medium,1,9.0,0.0,Slightly Under
1156,2023-01-03,1900-01-01 08:49:32,2,5,Lower Manhattan,61,4.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,2023,1,3,1,1,0,8,Morning,Winter,Premium,9.5,9.5,4453,207261.64,4.476009934132383,46305,Small Order,Medium,1,9.5,0.0,Slightly Under
1163,2023-01-03,1900-01-01 08:56:41,2,5,Lower Manhattan,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,2023,1,3,1,1,0,8,Morning,Winter,Premium,9.0,9.0,4668,207261.64,4.476009934132383,46305,Small Order,Medium,1,9.0,0.0,Slightly Under
1184,2023-01-03,1900-01-01 09:49:52,2,5,Lower Manhattan,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,2023,1,3,1,1,0,9,Morning,Winter,Premium,9.0,9.0,4668,207261.64,4.476009934132383,46305,Small Order,Medium,1,9.0,0.0,Slightly Under
1187,2023-01-03,1900-01-01 09:50:48,2,8,Hell's Kitchen,55,4.0,Tea,Brewed Chai tea,Morning Sunrise Chai Lg,2023,1,3,1,1,0,9,Morning,Winter,Standard,8.0,8.0,4346,209773.95,4.262485268419556,49214,Small Order,Medium,1,8.0,0.0,Slightly Under
1211,2023-01-03,1900-01-01 10:54:16,2,5,Lower Manhattan,39,4.25,Coffee,Barista Espresso,Latte Rg,2023,1,3,1,1,0,10,Morning,Winter,Premium,8.5,8.5,4497,207261.64,4.476009934132383,46305,Small Order,Medium,1,8.5,0.0,Slightly Under
1235,2023-01-03,1900-01-01 11:26:09,2,8,Hell's Kitchen,61,4.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,2023,1,3,1,1,0,11,Morning,Winter,Premium,9.5,9.5,4453,209773.95,4.262485268419556,49214,Small Order,Medium,1,9.5,0.0,Slightly Under
1241,2023-01-03,1900-01-01 11:31:00,2,5,Lower Manhattan,39,4.25,Coffee,Barista Espresso,Latte Rg,2023,1,3,1,1,0,11,Morning,Winter,Premium,8.5,8.5,4497,207261.64,4.476009934132383,46305,Small Order,Medium,1,8.5,0.0,Slightly Under
1282,2023-01-03,1900-01-01 12:08:20,2,3,Astoria,55,4.0,Tea,Brewed Chai tea,Morning Sunrise Chai Lg,2023,1,3,1,1,0,12,Morning,Winter,Standard,8.0,8.0,4346,212284.0,4.300380844340005,49364,Small Order,Medium,1,8.0,0.0,Slightly Under
1291,2023-01-03,1900-01-01 12:27:58,2,3,Astoria,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,2023,1,3,1,1,0,12,Morning,Winter,Premium,9.0,9.0,4668,212284.0,4.300380844340005,49364,Small Order,Medium,1,9.0,0.0,Slightly Under
1293,2023-01-03,1900-01-01 12:31:47,2,3,Astoria,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,2023,1,3,1,1,0,12,Morning,Winter,Premium,9.0,9.0,4668,212284.0,4.300380844340005,49364,Small Order,Medium,1,9.0,0.0,Slightly Under
1294,2023-01-03,1900-01-01 12:35:27,2,8,Hell's Kitchen,61,4.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,2023,1,3,1,1,0,12,Morning,Winter,Premium,9.5,9.5,4453,209773.95,4.262485268419556,49214,Small Order,Medium,1,9.5,0.0,Slightly Under
1312,2023-01-03,1900-01-01 12:52:37,2,3,Astoria,39,4.25,Coffee,Barista Espresso,Latte Rg,2023,1,3,1,1,0,12,Morning,Winter,Premium,8.5,8.5,4497,212284.0,4.300380844340005,49364,Small Order,Medium,1,8.5,0.0,Slightly Under
1367,2023-01-03,1900-01-01 14:04:48,2,3,Astoria,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,2023,1,3,1,1,0,14,Afternoon,Winter,Premium,9.0,9.0,4668,212284.0,4.300380844340005,49364,Small Order,Medium,1,9.0,0.0,Slightly Under
1384,2023-01-03,1900-01-01 14:19:44,2,5,Lower Manhattan,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,2023,1,3,1,1,0,14,Afternoon,Winter,Premium,9.0,9.0,4668,207261.64,4.476009934132383,46305,Small Order,Medium,1,9.0,0.0,Slightly Under
1406,2023-01-03,1900-01-01 14:43:48,2,8,Hell's Kitchen,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,2023,1,3,1,1,0,14,Afternoon,Winter,Premium,9.0,9.0,4668,209773.95,4.262485268419556,49214,Small Order,Medium,1,9.0,0.0,Slightly Under
1462,2023-01-03,1900-01-01 15:24:48,2,3,Astoria,41,4.25,Coffee,Barista Espresso,Cappuccino Lg,2023,1,3,1,1,0,15,Afternoon,Winter,Premium,8.5,8.5,4143,212284.0,4.300380844340005,49364,Small Order,Medium,1,8.5,0.0,Slightly Under
1488,2023-01-03,1900-01-01 15:47:58,2,8,Hell's Kitchen,61,4.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,2023,1,3,1,1,0,15,Afternoon,Winter,Premium,9.5,9.5,4453,209773.95,4.262485268419556,49214,Small Order,Medium,1,9.5,0.0,Slightly Under
1492,2023-01-03,1900-01-01 15:48:46,2,5,Lower Manhattan,55,4.0,Tea,Brewed Chai tea,Morning Sunrise Chai Lg,2023,1,3,1,1,0,15,Afternoon,Winter,Standard,8.0,8.0,4346,207261.64,4.476009934132383,46305,Small Order,Medium,1,8.0,0.0,Slightly Under
1502,2023-01-03,1900-01-01 15:58:24,2,3,Astoria,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,2023,1,3,1,1,0,15,Afternoon,Winter,Premium,9.0,9.0,4668,212284.0,4.300380844340005,49364,Small Order,Medium,1,9.0,0.0,Slightly Under
1573,2023-01-03,1900-01-01 17:06:38,2,8,Hell's Kitchen,39,4.25,Coffee,Barista Espresso,Latte Rg,2023,1,3,1,1,0,17,Afternoon,Winter,Premium,8.5,8.5,4497,209773.95,4.262485268419556,49214,Small Order,Medium,1,8.5,0.0,Slightly Under
1603,2023-01-03,1900-01-01 17:39:49,2,5,Lower Manhattan,39,4.25,Coffee,Barista Espresso,Latte Rg,2023,1,3,1,1,0,17,Afternoon,Winter,Premium,8.5,8.5,4497,207261.64,4.476009934132383,46305,Small Order,Medium,1,8.5,0.0,Slightly Under
1625,2023-01-03,1900-01-01 18:07:48,2,3,Astoria,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,2023,1,3,1,1,0,18,Afternoon,Winter,Premium,9.0,9.0,4668,212284.0,4.300380844340005,49364,Small Order,Medium,1,9.0,0.0,Slightly Under
1628,2023-01-03,1900-01-01 18:16:50,2,3,Astoria,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,2023,1,3,1,1,0,18,Afternoon,Winter,Premium,9.0,9.0,4668,212284.0,4.300380844340005,49364,Small Order,Medium,1,9.0,0.0,Slightly Under
1674,2023-01-03,1900-01-01 19:23:22,2,8,Hell's Kitchen,61,4.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,2023,1,3,1,1,0,19,Evening,Winter,Premium,9.5,9.5,4453,209773.95,4.262485268419556,49214,Small Order,Medium,1,9.5,0.0,Slightly Under
1685,2023-01-03,1900-01-01 19:39:21,2,3,Astoria,61,4.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,2023,1,3,1,1,0,19,Evening,Winter,Premium,9.5,9.5,4453,212284.0,4.300380844340005,49364,Small Order,Medium,1,9.5,0.0,Slightly Under
1692,2023-01-03,1900-01-01 19:52:04,2,3,Astoria,39,4.25,Coffee,Barista Espresso,Latte Rg,2023,1,3,1,1,0,19,Evening,Winter,Premium,8.5,8.5,4497,212284.0,4.300380844340005,49364,Small Order,Medium,1,8.5,0.0,Slightly Under
1693,2023-01-03,1900-01-01 19:52:34,2,8,Hell's Kitchen,61,4.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,2023,1,3,1,1,0,19,Evening,Winter,Premium,9.5,9.5,4453,209773.95,4.262485268419556,49214,Small Order,Medium,1,9.5,0.0,Slightly Under
1736,2023-01-04,1900-01-01 09:06:58,2,5,Lower Manhattan,55,4.0,Tea,Brewed Chai tea,Morning Sunrise Chai Lg,2023,1,4,2,1,0,9,Morning,Winter,Standard,8.0,8.0,4346,207261.64,4.476009934132383,46305,Small Order,Medium,1,8.0,0.0,Slightly Under
1752,2023-01-04,1900-01-01 09:56:07,2,8,Hell's Kitchen,39,4.25,Coffee,Barista Espresso,Latte Rg,2023,1,4,2,1,0,9,Morning,Winter,Premium,8.5,8.5,4497,209773.95,4.262485268419556,49214,Small Order,Medium,1,8.5,0.0,Slightly Under
1762,2023-01-04,1900-01-01 10:13:21,2,8,Hell's Kitchen,55,4.0,Tea,Brewed Chai tea,Morning Sunrise Chai Lg,2023,1,4,2,1,0,10,Morning,Winter,Standard,8.0,8.0,4346,209773.95,4.262485268419556,49214,Small Order,Medium,1,8.0,0.0,Slightly Under
1772,2023-01-04,1900-01-01 10:28:27,2,8,Hell's Kitchen,39,4.25,Coffee,Barista Espresso,Latte Rg,2023,1,4,2,1,0,10,Morning,Winter,Premium,8.5,8.5,4497,209773.95,4.262485268419556,49214,Small Order,Medium,1,8.5,0.0,Slightly Under
1785,2023-01-04,1900-01-01 11:12:51,2,3,Astoria,39,4.25,Coffee,Barista Espresso,Latte Rg,2023,1,4,2,1,0,11,Morning,Winter,Premium,8.5,8.5,4497,212284.0,4.300380844340005,49364,Small Order,Medium,1,8.5,0.0,Slightly Under
1789,2023-01-04,1900-01-01 11:21:27,2,8,Hell's Kitchen,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,2023,1,4,2,1,0,11,Morning,Winter,Premium,9.0,9.0,4668,209773.95,4.262485268419556,49214,Small Order,Medium,1,9.0,0.0,Slightly Under
1814,2023-01-04,1900-01-01 11:56:32,2,3,Astoria,39,4.25,Coffee,Barista Espresso,Latte Rg,2023,1,4,2,1,0,11,Morning,Winter,Premium,8.5,8.5,4497,212284.0,4.300380844340005,49364,Small Order,Medium,1,8.5,0.0,Slightly Under
1822,2023-01-04,1900-01-01 12:01:42,2,3,Astoria,55,4.0,Tea,Brewed Chai tea,Morning Sunrise Chai Lg,2023,1,4,2,1,0,12,Morning,Winter,Standard,8.0,8.0,4346,212284.0,4.300380844340005,49364,Small Order,Medium,1,8.0,0.0,Slightly Under
1823,2023-01-04,1900-01-01 12:02:09,2,3,Astoria,55,4.0,Tea,Brewed Chai tea,Morning Sunrise Chai Lg,2023,1,4,2,1,0,12,Morning,Winter,Standard,8.0,8.0,4346,212284.0,4.300380844340005,49364,Small Order,Medium,1,8.0,0.0,Slightly Under
1852,2023-01-04,1900-01-01 12:28:36,2,3,Astoria,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,2023,1,4,2,1,0,12,Morning,Winter,Premium,9.0,9.0,4668,212284.0,4.300380844340005,49364,Small Order,Medium,1,9.0,0.0,Slightly Under
1920,2023-01-04,1900-01-01 13:58:53,2,3,Astoria,41,4.25,Coffee,Barista Espresso,Cappuccino Lg,2023,1,4,2,1,0,13,Afternoon,Winter,Premium,8.5,8.5,4143,212284.0,4.300380844340005,49364,Small Order,Medium,1,8.5,0.0,Slightly Under
1938,2023-01-04,1900-01-01 14:19:06,2,5,Lower Manhattan,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,2023,1,4,2,1,0,14,Afternoon,Winter,Premium,9.0,9.0,4668,207261.64,4.476009934132383,46305,Small Order,Medium,1,9.0,0.0,Slightly Under
1946,2023-01-04,1900-01-01 14:26:56,2,8,Hell's Kitchen,39,4.25,Coffee,Barista Espresso,Latte Rg,2023,1,4,2,1,0,14,Afternoon,Winter,Premium,8.5,8.5,4497,209773.95,4.262485268419556,49214,Small Order,Medium,1,8.5,0.0,Slightly Under
1974,2023-01-04,1900-01-01 14:53:18,2,3,Astoria,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,2023,1,4,2,1,0,14,Afternoon,Winter,Premium,9.0,9.0,4668,212284.0,4.300380844340005,49364,Small Order,Medium,1,9.0,0.0,Slightly Under
1997,2023-01-04,1900-01-01 15:16:29,2,8,Hell's Kitchen,41,4.25,Coffee,Barista Espresso,Cappuccino Lg,2023,1,4,2,1,0,15,Afternoon,Winter,Premium,8.5,8.5,4143,209773.95,4.262485268419556,49214,Small Order,Medium,1,8.5,0.0,Slightly Under
2012,2023-01-04,1900-01-01 15:32:02,2,8,Hell's Kitchen,61,4.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,2023,1,4,2,1,0,15,Afternoon,Winter,Premium,9.5,9.5,4453,209773.95,4.262485268419556,49214,Small Order,Medium,1,9.5,0.0,Slightly Under
