Date,TransactionCount,TotalSales,TotalQuantity,AvgTransactionValue
2023-03-31,595,2590.83,866,4.35
2023-04-01,830,3699.9,1198,4.46
2023-04-02,802,3575.85,1156,4.46
2023-04-03,814,3604.95,1162,4.43
2023-04-04,753,3327.3,1086,4.42
2023-04-05,814,3552.7,1136,4.36
2023-04-06,739,3250.2,1053,4.4
2023-04-07,783,3340.85,1114,4.27
2023-04-08,884,3872.0,1268,4.38
2023-04-09,798,3367.35,1101,4.22
2023-04-10,875,3642.25,1248,4.16
2023-04-11,838,3499.4,1211,4.18
2023-04-12,828,3428.9,1200,4.14
2023-04-13,846,3747.8,1270,4.43
2023-04-14,758,3069.85,1051,4.05
2023-04-15,846,3625.85,1210,4.29
2023-04-16,947,3847.1,1296,4.06
2023-04-17,764,3154.7,1072,4.13
2023-04-18,855,3572.6,1220,4.18
2023-04-19,878,3596.95,1227,4.1
2023-04-20,816,3316.4,1139,4.06
2023-04-21,774,3420.95,1171,4.42
2023-04-22,776,3636.7,1216,4.69
2023-04-23,830,3909.3,1281,4.71
2023-04-24,876,4032.8,1325,4.6
2023-04-25,839,3901.25,1311,4.65
2023-04-26,889,4127.8,1370,4.64
2023-04-27,944,4280.1,1467,4.53
2023-04-28,769,3373.8,1099,4.39
2023-04-29,674,2953.5,954,4.38
2023-04-30,766,3273.78,1097,4.27
2023-05-01,1050,4731.45,1515,4.51
2023-05-02,1040,4625.5,1495,4.45
2023-05-03,1076,4714.6,1523,4.38
2023-05-04,1029,4589.7,1483,4.46
2023-05-05,1062,4701.0,1507,4.43
2023-05-06,955,4205.15,1364,4.4
2023-05-07,995,4268.5,1427,4.29
2023-05-08,1136,4895.35,1631,4.31
2023-05-09,1038,4312.85,1418,4.15
2023-05-10,1121,4676.25,1601,4.17
2023-05-11,1029,4258.7,1474,4.14
2023-05-12,1002,4126.6,1455,4.12
2023-05-13,1108,4919.15,1677,4.44
2023-05-14,1003,3996.85,1368,3.98
2023-05-15,1106,4654.8,1560,4.21
2023-05-16,1170,4763.15,1608,4.07
2023-05-17,977,4116.95,1384,4.21
2023-05-18,1128,4709.4,1595,4.18
2023-05-19,1168,4855.3,1656,4.16
2023-05-20,1104,4496.65,1531,4.07
2023-05-21,1001,4420.85,1515,4.42
2023-05-22,1089,5071.2,1701,4.66
2023-05-23,1052,4886.25,1618,4.64
2023-05-24,1080,4989.8,1658,4.62
2023-05-25,1015,4771.9,1585,4.7
2023-05-26,1065,4950.35,1637,4.65
2023-05-27,1167,5262.85,1799,4.51
2023-05-28,999,4338.65,1402,4.34
2023-05-29,906,3959.5,1270,4.37
2023-05-30,988,4268.43,1431,4.32
2023-05-31,940,4103.57,1386,4.37
2023-06-01,1150,5227.0,1676,4.55
2023-06-02,1143,5056.5,1642,4.42
2023-06-03,1160,5166.65,1654,4.45
2023-06-04,1114,4985.15,1619,4.47
2023-06-05,1110,4911.15,1577,4.42
2023-06-06,1041,4598.9,1494,4.42
2023-06-07,1059,4529.8,1512,4.28
2023-06-08,1203,5180.55,1709,4.31
2023-06-09,1160,4877.85,1608,4.21
2023-06-10,1159,4831.5,1657,4.17
2023-06-11,1163,4769.2,1658,4.1
2023-06-12,1118,4635.9,1630,4.15
2023-06-13,1239,5552.55,1896,4.48
2023-06-14,1114,4481.5,1525,4.02
2023-06-15,1181,4965.55,1672,4.2
2023-06-16,1276,5212.4,1769,4.08
2023-06-17,1052,4299.75,1484,4.09
2023-06-18,1219,5025.55,1709,4.12
2023-06-19,1286,5313.2,1801,4.13
2023-06-20,1150,4682.05,1592,4.07
2023-06-21,1095,4742.05,1637,4.33
2023-06-22,1122,5273.7,1745,4.7
2023-06-23,1138,5318.45,1766,4.67
2023-06-24,1190,5536.5,1822,4.65
2023-06-25,1142,5300.5,1770,4.64
2023-06-26,1167,5452.6,1809,4.67
2023-06-27,1262,5688.6,1947,4.51
2023-06-28,1070,4728.9,1531,4.42
2023-06-29,1009,4450.75,1429,4.41
2023-06-30,1058,4555.98,1544,4.31
